G1,G2,failures,G3
47,15,13.5,167
38,15,13.5,138.5
38,15,13.5,136
46,15,15,166
46,15,15,176.5
48,15,15,225
46.5,15,15,225
52.5,15,12,195.5
37,15,15,131.5
40.5,15,13.5,150
38.5,15,13.5,163
43.5,15,15,181
37,15,13.5,131
45,15,13.5,180.5
18.5,15,13.5,52
39.5,15,15,117
50.5,15,13.5,144
50,15,15,174.5
46.5,15,12,202
43.5,13.5,13.5,178.5
44.5,15,15,157.5
43.5,15,12,159.5
42.5,15,15,100
37,15,13.5,125
38,15,14,163.5
29,15,13.5,143.5
33,15,13.5,187.5
38,15,10.5,164.5
39,15,15,180.5
42,15,13.5,127.5
50.5,15,13.5,176
40.5,15,10.5,160
46,15,15,147
44,15,15,244
52.5,15,13.5,177
48,15,13.5,129.5
48.5,15,13.5,219
53,15,13.5,159.5
44,15,12,183
46.5,10.5,13.5,136.5
53.5,15,13.5,180
43.5,15,15,133.5
43.5,15,12,188.5
34.5,13.5,13.5,175
49.5,13.5,13.5,133.5
45.5,15,15,232.5
45,15,13.5,149.5
52,15,15,217.5
39.5,15,15,160.5
54.5,15,15,191.5
52,15,13.5,197.5
29.5,15,12.5,184.5
27.5,13.5,12.5,108.5
54,15,15,200
